fund_identifier,funds,fees,fund_company
LLINE,International Equity Fund (LLINE),0.01733,Canada Life
LIOP,International Opportunity Fund (LIOP),0.01733,Canada Life
SEMEQ,SustainableEmerging MarketsEquity Fund (SEMEQ),0.01963,Canada Life
SGLEQ,Sustainable Global Equity Fund (SGLEQ),0.01813,Canada Life
SGLBD,Sustainable Global Bond Fund (SGLBD),0.01613,Canada Life
ESGUS,ESG US Equity Fund (ESGUS),0.01663,Canada Life
USCTE,US Carbon Transition Equity Fund (USCTE),0.01613,Canada Life
S196,Balanced Fund (S196),0.01633,Canada Life
S195,Canadian Equity Fund (S195),0.01633,Canada Life
CPBLW,Canadian Core Plus Bond Fund (CPBLW),0.01583,Canada Life
GEMA,Global Equity Fund (GEMA),0.01893,Canada Life
IEMA,International Equity Fund (IEMA),0.01913,Canada Life
MFS25,LifePlan 2025 Fund (MFS25),0.01673,Canada Life
MFS30,LifePlan 2030 Fund (MFS30),0.01663,Canada Life
MFS35,LifePlan 2035 Fund (MFS35),0.01663,Canada Life
MFS40,LifePlan 2040 Fund (MFS40),0.01663,Canada Life
MFS45,LifePlan 2045 Fund (MFS45),0.01673,Canada Life
MFS50,LifePlan 2050 Fund (MFS50),0.01673,Canada Life
MFS55,LifePlan 2055 Fund (MFS55),0.01683,Canada Life
MFS60,LifePlan 2060 Fund (MFS60),0.01703,Canada Life
MFS65,LifePlan 2065 Fund (MFS65),0.01703,Canada Life
MFSRT,LifePlan Retirement Fund (MFSRT),0.01693,Canada Life
FIMB,Fixed Income Fund (FIMB),0.01518,Canada Life
AEMB,American Equity Fund (AEMB),0.01993,Canada Life
IEMB,International Equity Fund (IEMB),0.02013,Canada Life
GEMB,Global Equity Fund (GEMB),0.02003,Canada Life
MTGE,Growth Equity Fund (MTGE),0.01713,Canada Life
EMKCE,Emerging Markets Concentrated Equity Fund (EMKCE),0.01963,Canada Life
S149,Bond Fund (S149),0.01603,Canada Life
S147,Balanced Pension Trust (S147),0.01673,Canada Life
S269,Canadian Equity Fund (S269),0.01653,Canada Life
CPBPH,Canadian Core Plus Bond Fund (CPBPH),0.01663,Canada Life
GEFPH,Global Equity Focus Fund (GEFPH),0.01903,Canada Life
MIPI,Monthly Income Fund (MIPI),0.01913,Canada Life
GGR,Global Growth Fund (GGR) **,0.01983,Canada Life
GSRR,Global Sectors Fund (GSRR) **,0.01983,Canada Life
SPIE,International Equity Fund (SPIE),0.019188,Canada Life
GES,Global Equity Fund (GES),0.019184,Canada Life
BSR,Bond Fund (BSR),0.016206,Canada Life
CESR,Canadian Equity Fund (CESR),0.016569,Canada Life
BALSR,Balanced Fund (BALSR),0.017687,Canada Life
S079,Canadian Bond Index Fund (S079),0.01403,Canada Life
S120,Canadian Equity Index Fund (S120),0.01393,Canada Life
S080,Balanced Index Fund (S080),0.01423,Canada Life
LUSET,US Equity Index Fund (LUSET),0.01403,Canada Life
LIEIT,International Equity Index Fund (LIEIT),0.01413,Canada Life
S244,Global Equity Index Fund (S244),0.01413,Canada Life
USITD,US Index Registered (USITD) ,0.01393,Canada Life
GGERP,Global Growth Equity Fund (GGERP),0.01933,Canada Life
TRP25,T Rowe Price Retirement Date 2025 (TRP25),0.01693,Canada Life
TRP30,T Rowe Price Retirement Date 2030 (TRP30),0.01693,Canada Life
TRP35,T Rowe Price Retirement Date 2035 (TRP35),0.01693,Canada Life
TRP40,T Rowe Price Retirement Date 2040 (TRP40),0.01693,Canada Life
TRP45,T Rowe Price Retirement Date 2045 (TRP45),0.01693,Canada Life
TRP50,T Rowe Price Retirement Date 2050 (TRP50),0.01693,Canada Life
TRP55,T Rowe Price Retirement Date 2055 (TRP55),0.01693,Canada Life
TRP60,T Rowe Price Retirement Date 2060 (TRP60),0.01693,Canada Life
TRP65,T Rowe Price Retirement Date 2065 (TRP65),0.01693,Canada Life
