fund_identifier,funds,returns,fund_company,fund_type
8182,Manulife Invesco Global Real Estate Fund,-4.45,Manulife,Available
8183,Manulife Invesco EQV International Equity Fund,0.8,Manulife,Available
8184,Manulife Invesco Global Small-Cap Equity Fund,-2.88,Manulife,Available
8185,Manulife Invesco US Small-Cap Value Equity Fund,-3.49,Manulife,Available
8196,Manulife Wellington US Quality Growth Fund,3.53,Manulife,Available
8203,Manulife CIBC Global Equity Growth Fund,-0.5,Manulife,Available
8204,Manulife Walter Scott Global Equity Growth Fund,-1.96,Manulife,Available
8233,Manulife CI Synergy American Fund,0.98,Manulife,Available
8234,Manulife CI Global Leaders Fund,-0.21,Manulife,Available
8243,Manulife Jarislowsky Fraser US Equity Fund,-1.68,Manulife,Available
8244,Manulife Jarislowsky Fraser International Equity Fund,0.08,Manulife,Available
8254,Manulife Russell US Equity Fund,-1.45,Manulife,Available
8255,Manulife Russell Multi-Asset Growth Strategy Fund,-0.85,Manulife,Available
8256,Manulife Russell International Equity Fund,-0.3,Manulife,Available
8262,Manulife Pier 21 Global Value Fund,0.12,Manulife,Available
8272,Manulife RBC Emerging Markets Equity Fund,0.58,Manulife,Available
8292,Manulife Guardian i3 Global Equity Fund,2.52,Manulife,Available
8294,Manulife Guardian i3 International Equity Fund,-0.66,Manulife,Available
8311,Manulife CC&L Q Group Global Equity Fund,1.18,Manulife,Available
8321,Manulife BlackRock International Equity Index Fund,0.11,Manulife,Available
8322,Manulife BlackRock US Equity Index Fund (Registered Plans Only),0.27,Manulife,Available
8323,Manulife BlackRock US Equity Index Fund (Taxable),0.24,Manulife,Available
8324,Manulife BlackRock ACWI ex-Canada Index Fund,0.14,Manulife,Available
8326,Manulife BlackRock Emerging Markets Index Fund,2.47,Manulife,Available
8327,Manulife BlackRock Global REIT Index Fund,-4.52,Manulife,Available
8329,Manulife BlackRock Global Infrastructure Index Fund,-3.31,Manulife,Available
8342,Manulife abrdn Global Equity Fund,0.76,Manulife,Available
8361,Manulife Sprucegrove International Equity Fund,1.07,Manulife,Available
8362,Manulife Sprucegrove Global Equity Fund,-1.47,Manulife,Available
8382,Manulife FGP International Equity Fund,0.47,Manulife,Available
8401,Manulife Boston Partners International Equity Fund,-0.68,Manulife,Available
8402,Manulife Boston Partners Global Equity Fund,-1.35,Manulife,Available
8421,Manulife Aristotle Capital International Equity Fund,-0.53,Manulife,Available
8432,Manulife JP Morgan Emerging Markets Fund,0.94,Manulife,Available
8441,Manulife Global Dividend Growth Fund  (MAM),-2.01,Manulife,Available
8442,Manulife MMF Global Franchise Fund,-0.22,Manulife,Available
8444,Manulife MMF US Dividend Income Fund,-2.24,Manulife,Available
8451,Manulife Mawer US Equity Fund,-2.69,Manulife,Available
8452,Manulife Mawer International Equity Fund,-0.31,Manulife,Available
8457,Manulife Mawer Global Equity Fund,-0.97,Manulife,Available
8505,Manulife Franklin US Rising Dividends Fund,-2.26,Manulife,Available
8508,Manulife Franklin Global Growth Equity Fund,-4.22,Manulife,Available
8521,Manulife Nordea Stable Return Fund,-2.41,Manulife,Available
8581,Manulife Fidelity Global Real Estate Fund,-4.43,Manulife,Available
8582,Manulife FIAM Select International Equity Fund,-0.3,Manulife,Available
8583,Manulife FIAM Select Global Equity Fund,-0.25,Manulife,Available
