fund_identifier,funds,fees,fund_company
F00000X1A7,TD Greystone 2045 Target Date Plus Sg Fd,0.012911,Sun Life
F00000X1A8,TD Greystone 2050 Target Date Plus Sg Fd,0.012921,Sun Life
F00000X1A9,TD Greystone 2055 Target Date Plus Sg Fd,0.01295,Sun Life
F00001F0DI,TD Greystone 2060 Target Date Seg Fund,0.012955,Sun Life
F00001GOLS,TD Greystone 2065 Target Date Plus Sg Fd,0.01246,Sun Life
F00001EMZK,Sun Life MFS Diversified Income Seg Fund,0.0126,Sun Life
F00001CHQB,PH&N Fossil Fuel Free ST Bond Seg Fund,0.0112,Sun Life
F00001GOLT,PH&N Future Solutions Bond Seg Fund,0.0112,Sun Life
F000010TYU,SLC Mgmt Core Plus Bond Seg Fund,0.0118,Sun Life
F000015HNN,SL Multi-Strategy Core Plus Bond Seg Fd,0.012028,Sun Life
F00000P794,TDAM Low Volatility Cdn Equity Seg Fund,0.010542,Sun Life
F00001M6ST,PineStone US Equity Segregated Fund,0.0135,Sun Life
F00001KM5E,Boston Partners International Eq Seg Fnd,0.0155,Sun Life
F00001M6SU,PineStone International Equity Seg Fund,0.0165,Sun Life
F00001EMT9,Baillie Gifford Global Alpha Seg Fund,0.0156,Sun Life
F00001EMTA,Baillie Gifford Positive Change Eq Sg Fd,0.0158,Sun Life
F00001MP6J,Boston Partners Global Equity Seg Fund,0.0155,Sun Life
F000011P5S,Morgan Stanley Gl Franchise Seg Fund NR,0.019,Sun Life
F000011XHN,Morgan Stanley GI Franchise Seg Fd (Reg),0.0189,Sun Life
F00001M6SS,PineStone Global Equity Segregated Fund,0.016,Sun Life
F00001F4V6,BLK Global Infrastructure Eq Index Sg Fd,0.010603,Sun Life
FOUSA08QSM,Fidelity ClearPath 2010 Port Seg Fund,0.012559,Sun Life
FOUSA06VOY,Fidelity ClearPath 2020 Port Seg Fund,0.012553,Sun Life
FOUSA06VO5,Fidelity ClearPath 2015 Port Seg Fund,0.012556,Sun Life
F00001D6E2,BLK LifePath Index 2065 Segregated Fund,0.011529,Sun Life
F000013QNZ,SL Granite 2060 Moderate Seg Fund,0.0125,Sun Life
F000013QNY,SL Granite 2060 Conservative Seg Fund,0.0126,Sun Life
F000013QNX,SL Granite 2060 Aggressive Seg Fund,0.0126,Sun Life
F00000VOOT,SL Granite 2055 Aggressive Seg Fund,0.0125,Sun Life
F00000VOOS,SL Granite 2055 Conservative Seg Fund,0.0125,Sun Life
F00000VOOR,SL Granite 2055 Moderate Seg Fund,0.01235,Sun Life
F00000T68H,SL Granite 2045 Moderate Seg Fund,0.0123,Sun Life
F00000T68G,SL Granite 2035 Moderate Seg Fund,0.0123,Sun Life
F00000T68F,SL Granite 2025 Moderate Seg Fund,0.0123,Sun Life
F00000T68D,SL Granite 2045 Conservative Seg Fund,0.0124,Sun Life
